POSTNR_TXT,POSTBYNAVN,areal_reel
9760,Vr,117.939134
8310,Tranbjerg J,13.5371826
9550,Mariager,102.031528
6630,Rdding,238.876213
4791,Borre,60.4292828
4792,Askeby,37.3766871
4793,Bog By,14.5374611
9293,Kongerslev,52.8707709
4951,Nrreballe,11.4056887
3540,Lynge,29.2847757
7330,Brande,213.923535
7323,Give,304.167333
3220,Tisvildeleje,17.4516509
7500,Holstebro,396.745633
9881,Bindslev,95.7411327
8850,Bjerringbro,169.551436
2960,Rungsted Kyst,6.11162137
2840,Holte,21.6327434
3320,Skvinge,50.4158631
5474,Veflinge,19.9508476
5471,Snders,107.074300
9632,Mldrup,68.5495857
6870,lgod,124.977681
5270,Odense N,52.7931307
4700,Nstved,251.002270
6640,Lunderskov,60.5955413
5370,Mesinge,21.7795743
5900,Rudkbing,102.798533
3760,Gudhjem,71.0188577
7800,Skive,220.824601
3480,Fredensborg,73.0763779
6990,Ulfborg,240.252190
8632,Lemming,30.3481488
4330,Hvals,62.5889518
4560,Vig,47.6549476
7250,Hejnsvig,93.5847535
6392,Bolderslev,48.4519562
4640,Faxe,115.235692
7600,Struer,141.410432
2990,Niv,7.65431819
8700,Horsens,226.737391
9510,Arden,117.945047
9260,Gistrup,74.8450497
9600,Aars,195.905324
2770,Kastrup,57.7798572
4892,Kettinge,48.8942504
4891,Toreby L,46.8858248
4895,Errindlev,21.7142454
4894,ster Ulslev,39.7239536
9850,Hirtshals,68.3170022
8680,Ry,103.889148
7870,Roslev,236.998057
5600,Faaborg,207.449252
6900,Skjern,330.050498
9490,Pandrup,81.0886749
9990,Skagen,68.1388692
4200,Slagelse,307.142289
9493,Saltum,39.8023401
5762,Vester Skerninge,56.7591275
7970,Redsted M,27.4847343
4800,Nykbing F,143.889451
6261,Bredebro,132.010261
6510,Gram,129.650509
5560,Aarup,85.8741375
6064,Jordrup,35.1278324
9460,Brovst,219.799343
7730,Hanstholm,56.8266224
6300,Grsten,57.1898566
9541,Suldrup,67.3523715
2605,Brndby,15.8643876
2600,Glostrup,15.5831773
8450,Hammel,89.5794281
8350,Hundslund,29.6349456
9640,Fars,200.563343
9310,Vodskov,99.7480707
7270,Stakroge,22.0528900
8950,rsted,114.242075
3460,Birkerd,34.7522950
4295,Stenlille,45.6480885
4296,Nyrup,11.2250965
4291,Ruds Vedby,61.3782263
4293,Dianalund,49.9254502
2670,Greve,34.4889393
7540,Haderup,127.061127
6830,Nrre Nebel,153.243344
2920,Charlottenlund,6.76969451
6600,Vejen,163.433110
5330,Munkebo,20.7792696
4060,Kirke Sby,41.7335418
3210,Vejby,22.9122873
7755,Bedsted Thy,118.366532
5230,Odense M,8.18699016
6760,Ribe,297.942089
5200,Odense V,15.1587744
3050,Humlebk,11.8658315
9970,Strandby,7.14503095
5863,Ferritslev Fyn,9.81895711
3600,Frederikssund,50.1244464
3070,Snekkersten,3.67323360
6880,Tarm,253.284178
2950,Vedbk,11.9953968
4600,Kge,86.1470690
3700,Rnne,113.809216
7080,Brkop,58.2892352
7160,Trring,84.4570744
3370,Melby,11.9741750
6690,Grding,45.4143378
7280,Snder Felding,51.4654933
4360,Kirke Eskilstrup,22.6462709
4242,Boeslunde,24.9165227
4243,Rude,22.6615563
4241,Vemmelev,29.1592548
4450,Jyderup,87.0530173
7830,Vinderup,191.800512
6940,Lem St,44.7431194
9492,Blokhus,18.9786205
3730,Nex,77.4325636
4690,Haslev,169.596860
4920,Sllested,78.2365679
3100,Hornbk,30.3962826
8670,Lsby,21.0861258
3300,Frederiksvrk,61.4329932
2500,Valby,7.47739405
9352,Dybvad,68.2277917
2720,Vanlse,5.44992070
2640,Hedehusene,41.6185959
8550,Ryomgrd,55.4888272
9380,Vestbjerg,11.6776403
9210,Aalborg S,13.1710344
8410,Rnde,109.722349
8000,Aarhus C,12.8568901
3782,Klemensker,31.3866103
6541,Bevtoft,54.1055783
6520,Toftlund,134.595853
4390,Vipperd,23.1833317
8990,Frup,70.2813976
5631,Ebberup,38.4714049
9800,Hjrring,289.869453
7742,Vesls,40.1064370
2000,Frederiksberg,6.59725675
7741,Frstrup,117.679951
6330,Padborg,90.3382664
4583,Sjllands Odde,16.4974934
4990,Sakskbing,147.630928
9740,Jerslev J,76.3921342
4850,Stubbekbing,79.4224059
4581,Rrvig,13.6943017
6230,Rdekro,202.455443
9690,Fjerritslev,284.593797
5550,Langeskov,32.3545801
